Country,GDPperCap,Democracy
Luxembourg,126426,8.81
Ireland,104039,9.13
Switzerland,92102,9.14
Norway,106149,9.81
Singapore,82808,6.22
Qatar,88046,3.65
United States,76399,7.85
Iceland,72903,9.52
Denmark,66983,9.28
Australia,64491,8.71
Netherlands,55985,9.0
Austria,52131,8.2
Sweden,55873,9.39
Finland,50537,9.29
Belgium,49583,7.64
Canada,54967,8.88
Israel,54660,7.93
Germany,48433,8.8
Hong Kong,48984,5.28
United Arab Emirates,53758,2.9
United Kingdom,45850,8.28
New Zealand,48249,9.61
France,40964,8.07
Malta,33941,7.7
Italy,34158,7.69
Japan,33815,8.33
South Korea,32255,8.03
Spain,29350,8.07
Saudi Arabia,30436,2.08
Slovenia,29457,7.75
Kuwait,43234,3.83
Estonia,28333,7.96
Czech Republic,27638,7.97
Lithuania,24827,7.31
Bahrain,30152,2.52
Portugal,24275,7.95
Latvia,21851,7.37
Slovakia,21258,7.07
Greece,20732,7.97
Poland,18321,7.04
Uruguay,20795,8.91
Oman,25057,3.12
Hungary,18463,6.64
Croatia,18413,6.5
Guyana,18990,6.34
Trinidad and Tobago,18222,7.16
Panama,17358,6.91
Romania,15892,6.45
Chile,15356,8.22
Costa Rica,13199,8.29
Bulgaria,13773,6.53
Mexico,11091,5.25
Turkey,10616,4.35
Argentina,13686,6.85
Malaysia,11972,7.3
Russia,15345,2.28
Kazakhstan,11243,3.08
Mauritius,10216,8.14
Montenegro,9894,6.45
Serbia,9394,6.33
Dominican Republic,10121,6.39
Brazil,8918,6.78
Gabon,8820,3.4
Armenia,7014,5.63
Albania,6803,6.41
Bosnia and Herzegovina,7585,5.0
Botswana,7738,7.73
North Macedonia,6592,6.1
Peru,7126,5.92
Azerbaijan,7737,2.87
Belarus,7905,1.99
Thailand,6909,6.67
Colombia,6630,6.72
Jamaica,6047,7.13
Equatorial Guinea,7054,1.92
Ecuador,6391,5.69
South Africa,6777,7.05
Fiji,5317,5.55
Iraq,5937,3.13
Libya,6716,2.06
Paraguay,6153,5.89
Suriname,5858,6.95
El Salvador,5127,5.06
Guatemala,5473,4.68
Mongolia,4947,6.35
Indonesia,4788,6.71
Algeria,4274,3.66
Jordan,4205,3.17
Namibia,4911,6.52
Cape Verde,3903,7.65
Vietnam,4164,2.73
Iran,4388,1.96
Tunisia,3777,5.51
Eswatini,4040,3.01
Morocco,3528,5.04
Philippines,3499,6.73
Bolivia,3523,4.51
Egypt,4295,2.93
Djibouti,3136,2.74
Bhutan,3266,5.54
Sri Lanka,3354,6.47
Honduras,3040,5.15
Ivory Coast,2486,4.22
Bangladesh,2688,5.99
India,2389,7.04
Nicaragua,2255,2.5
Papua New Guinea,3020,5.97
Angola,2999,3.96
Uzbekistan,2255,2.12
Mauritania,2191,4.03
Ghana,2176,6.43
Kenya,2099,5.05
Haiti,1748,2.81
Zimbabwe,1267,2.92
Cambodia,1787,3.18
Laos,2088,1.77
Kyrgyzstan,1607,3.62
Nigeria,2184,4.23
Cameroon,1589,2.56
Senegal,1599,5.72
Guinea,1532,2.32
Zambia,1488,5.8
Ethiopia,1028,3.17
Pakistan,1597,4.13
Benin,1303,4.28
Myanmar,1096,0.74
Comoros,1485,3.2
Nepal,1337,4.49
Tanzania,1192,5.1
Tajikistan,1054,1.94
Uganda,964,4.55
Lesotho,1107,6.19
Rwanda,966,3.1
Guinea-Bissau,776,2.56
Togo,918,2.99
Mali,645,3.23
Gambia,840,4.47
Burkina Faso,833,3.08
Liberia,755,5.43
Chad,717,1.67
Mozambique,542,3.51
Niger,533,3.73
Malawi,645,5.91
Central African Republic,427,1.35
Sudan,1102,2.47
Madagascar,505,5.7
Sierra Leone,461,5.03
Afghanistan,364,0.32
Burundi,238,2.13
