back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
40.9,SUV / Crossover,High Point,44.1,NA,66.1,185,1,35.9875,187.8,-80.0258,Hyundai,5,10,Santa Fe,NA,32646,74.4,2020
40.6,SUV / Crossover,Lake Orion,42.6,NA,68.3,250,1,42.7691,188.8,-83.2386,Ford,5,NA,Edge,NA,42225,85.8,2020
39.6,SUV / Crossover,Long Island City,41,FALSE,66.1,187,0,40.7535,179.1,-73.9197,Mazda,5,43677,CX-5,1,22888,72.5,2017
41.4,Sedan,Victorville,42.3,FALSE,57.3,132,0,34.5176,183.1,-117.321,Toyota,5,41047,Corolla,1,18851,69.9,2019
38.7,Pickup Truck,Escanaba,41.3,TRUE,73.7,403,0,45.7458,230.2,-87.0805,Chevrolet,6,142000,Silverado 1500,3,17968,80,2012
42.1,Pickup Truck,Kissimmee,41.1,FALSE,77.3,385,0,28.3404,263,-81.3839,Ford,6,46966,F-250 Super Duty,1,27204,104.9,2016
37.4,Sedan,Fontana,42.3,FALSE,55.7,158,0,34.1065,182.3,-117.483,Honda,5,61209,Civic,2,13999,70.8,2016
40.9,Minivan,San Carlos,40.9,NA,69.6,280,1,37.5082,203.2,-122.252,Honda,8,30,Odyssey,NA,39180,92.3,2020
40.9,Minivan,Westminster,40.9,NA,69.6,280,1,39.5658,205.2,-76.9759,Honda,8,NA,Odyssey,NA,49335,92.3,2021
35.1,SUV / Crossover,Alcoa,41.2,FALSE,66.5,180,0,35.8262,166.6,-83.9764,Jeep,5,49035,Renegade,2,19490,79.6,2018
40.4,SUV / Crossover,San Antonio,41.3,NA,66.1,190,1,29.5078,182.1,-98.6977,Honda,5,5,CR-V,NA,26270,73,2020
40.3,SUV / Crossover,Cape Coral,41.1,NA,65.7,270,1,26.6745,182,-81.9261,Jeep,5,16,Cherokee,NA,24202,73.2,2020
39.8,SUV / Crossover,Dallas,40.6,FALSE,70.4,290,0,32.9105,197.1,-96.7026,Ford,7,144998,Explorer,2,11690,90.2,2011
36.8,Pickup Truck,Fort Collins,41,FALSE,73.9,380,0,40.5811,225.9,-105.053,Ford,4,148165,F-150,6,12995,79.1,2002
41.7,SUV / Crossover,Victorville,42.3,FALSE,70.2,284,0,34.5067,198.5,-117.341,Nissan,7,31087,Pathfinder,4,20929,77.2,2017
38.1,Wagon,Russellville,42.9,FALSE,66.1,175,0,35.2782,189.6,-93.1085,Subaru,5,79140,Outback,2,13988,72.4,2015
33.4,Sedan,Midwest City,41.7,FALSE,56.3,248,0,35.4351,182.3,-97.3711,Mercedes-Benz,5,68206,C-Class,2,16775,79.5,2014
40.4,SUV / Crossover,Altoona,41.3,NA,66.5,190,1,40.5157,182.1,-78.3771,Honda,5,4,CR-V,NA,30705,73,2020
39.7,SUV / Crossover,Houston,45.3,FALSE,74,420,0,29.7265,224.3,-95.48,Cadillac,8,48364,Escalade ESV,1,45888,80.5,2017
38.6,SUV / Crossover,Jacksonville,40.3,NA,69.3,NA,1,30.2212,189.8,-81.5111,Jeep,5,NA,Grand Cherokee,NA,37318,84.8,2020
39.7,SUV / Crossover,Webster City,40.9,NA,65.4,252,1,42.4694,182.3,-93.8115,GMC,5,0,Terrain,NA,33525,72.4,2020
43.4,Pickup Truck,Cerritos,44.5,NA,75.5,355,1,33.8628,231.7,-118.1,Chevrolet,6,NA,Silverado 1500,NA,40585,81.2,2020
38.7,SUV / Crossover,Mankato,40.5,TRUE,67.8,260,0,44.1668,192.4,-93.9548,Nissan,5,40896,Murano,1,24989,75.4,2018
NA,Coupe,Torrance,42.8,NA,51.6,296,1,33.7994,176,-118.343,Jaguar,2,17,F-TYPE,NA,68185,80.4,2021
35.8,SUV / Crossover,North Brunswick,40.8,TRUE,65.3,153,0,40.45,168.4,-74.4935,Buick,5,21915,Encore,1,18995,69.9,2017
37.4,Sedan,Albuquerque,42.5,FALSE,58.9,124,0,35.0873,182.5,-106.568,Nissan,5,34786,Sentra,1,15300,69.3,2019
33.1,Coupe,Inglewood,42,TRUE,57.5,375,0,33.9407,197.9,-118.353,Dodge,5,63296,Challenger,2,24995,85.8,2016
43.5,Sedan,Fort Lauderdale,41,NA,64.8,563,1,26.1365,227.2,-80.1342,Rolls-Royce,5,31,Phantom,NA,569000,79.4,2020
37.6,Sedan,Kernersville,42.3,FALSE,59,300,0,36.1199,200.4,-80.0687,Chevrolet,6,172644,Impala,3,4999,72.9,2013
38.2,SUV / Crossover,Cerritos,41.5,NA,64.4,181,1,33.8647,176.4,-118.1,Kia,5,7,Sportage,NA,25265,73,2021
37.6,Minivan,Wesley Chapel,40.5,FALSE,70.7,296,0,28.2343,200.6,-82.3545,Toyota,8,32058,Sienna,2,29999,78.1,2019
35.2,Pickup Truck,Dallas,44.5,NA,75.6,355,1,32.8119,231.7,-96.8487,Chevrolet,6,5,Silverado 1500,NA,35999,81.2,2020
39,SUV / Crossover,Uvalde,43,NA,69.9,300,1,29.2245,198.8,-99.7613,Ford,7,136,Explorer,NA,41555,89.3,2020
40.6,SUV / Crossover,Coconut Creek,42.6,FALSE,68.3,250,0,26.295,188.8,-80.202,Ford,5,24332,Edge,1,24500,85.8,2019
38,Sedan,San Diego,42.1,FALSE,56.9,203,1,32.8045,192.1,-117.217,Toyota,5,4,Camry,NA,27499,72.4,2020
38.1,SUV / Crossover,League City,41.1,NA,65.3,221,1,29.4985,182.4,-95.1109,Mercedes-Benz,7,12,GLB-Class,NA,45115,79.5,2020
40.4,SUV / Crossover,Gaithersburg,41.3,FALSE,66.5,190,0,39.1576,180.6,-77.2176,Honda,5,42442,CR-V,1,23000,73,2018
38.3,Pickup Truck,New Braunfels,41.2,NA,76.1,285,1,29.7043,218,-98.1267,Jeep,5,10,Gladiator,NA,54505,73.8,2020
33.5,Pickup Truck,Pasadena,43.9,FALSE,75.2,282,0,29.6459,231.9,-95.1576,Ford,6,137956,F-150,1,16988,96.8,2015
37.8,SUV / Crossover,West Palm Beach,41,NA,65.3,248,1,26.7064,183.6,-80.0823,Audi,5,15,Q5,NA,49745,84.3,2020
33.3,Sedan,Saint Augustine,41.8,FALSE,57.1,137,0,29.8431,162,-81.3224,Hyundai,5,65546,Accent,2,8257,66.9,2016
36.5,Minivan,Marysville,40.7,FALSE,67.9,283,0,40.2322,202.8,-83.3482,Dodge,7,128244,Grand Caravan,2,8609,88.5,2013
40.6,SUV / Crossover,Maumee,42.6,TRUE,68.7,245,0,41.5868,188.1,-83.6686,Ford,5,39638,Edge,1,19300,85.8,2017
34.4,Sedan,Buena Park,41.4,NA,55.9,228,1,33.8622,178.5,-117.99,BMW,5,10,2 Series,NA,44445,81.9,2020
43.4,Pickup Truck,Sallisaw,44.5,NA,75.5,277,1,35.4385,231.7,-94.8057,Chevrolet,6,6,Silverado 1500,NA,51485,81.2,2020
41,SUV / Crossover,Deland,40.4,NA,68.1,295,1,28.9989,194.9,-81.3025,Toyota,8,3,Highlander,NA,46958,76,2020
